USERID,Timestamp,Age,Industry,Job title,Salary,Compensation,Currency,Country,State,City,Overall years of experience,Years of experience in current job,Education level,Gender
10527,4/27/2021 11:38:45,35-44,Health care,IT Finance Manager,115000,0,USD,USA,Indiana,Indianapolis,11 - 20 years,5-7 years,College degree,Woman
327,4/27/2021 11:38:45,25-34,"Accounting, Banking & Finance",Staff Accountant,64200,9630,USD,USA,Massachusetts,Andover,5-7 years,5-7 years,College degree,Woman
8110,4/27/2021 11:38:46,55-64,Government and Public Administration,Executive Assistant,58000,11000,USD,United States,New Jersey,Atlantic City,31 - 40 years,21 - 30 years,College degree,Woman
8654,4/27/2021 11:38:47,25-34,Social Work,Program Coordinator,47000,0,USD,United States,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman
1007,4/27/2021 11:38:47,25-34,Workforce development ,Operations Supervisor ,52000,0,USD,United States ,Tennessee,Memphis,2 - 4 years,1 year or less,Master's degree,Woman
50,4/27/2021 11:38:52,18-24,"Accounting, Banking & Finance",Quantitative Analyst,90000,6000,USD,United States,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree,Woman
878,4/27/2021 11:38:55,25-34,Business or Consulting,Vice President,101000,0,USD,USA,Missouri,St. Louis,8 - 10 years,8 - 10 years,Master's degree,Man
2484,4/27/2021 11:38:57,35-44,Social Work,Program Coordinator II,68000,0,USD,United States,Massachusetts,Boston Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Woman
12736,4/27/2021 11:39:01,65 or over,Health care,Clinical Operations Manager - oncology ,127000,16000,USD,USA,Massachusetts,Boston ,31 - 40 years,31 - 40 years,High School,Woman
4606,4/27/2021 11:39:03,35-44,Business or Consulting,Senior specialist,66000,2500,USD,United States,Virginia,Fairfax,11 - 20 years,11 - 20 years,Master's degree,Woman
1280,4/27/2021 11:39:04,25-34,"Marketing, Advertising & PR",Marketing Assistant ,41000,500,USD,United States ,North Carolina,Raleigh ,2 - 4 years,2 - 4 years,College degree,Woman
12310,4/27/2021 11:39:08,25-34,"Accounting, Banking & Finance",Credit and collections supervisor ,65000,1000,USD,USA ,Pennsylvania,Pittsburgh ,5-7 years,5-7 years,Master's degree,Woman
13094,4/27/2021 11:39:11,45-54,Computing or Tech,Engineer,98000,3000,USD,US,Texas,Austin,21 - 30 years,21 - 30 years,College degree,Woman
5968,4/27/2021 11:39:19,25-34,Education (Higher Education),Assistant Program Manager,56000,0,USD,United States,Maryland,Baltimore,5-7 years,2 - 4 years,College degree,Woman
2542,4/27/2021 11:39:26,25-34,Health care,Fellow - Pediatric & Perinatal Pathology,74885,0,USD,United States,Illinois,Chicago,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
774,4/27/2021 11:39:27,45-54,"Accounting, Banking & Finance",Finanace Manager Regulatory Reporting,112000,10000,USD,U.S.,Pennsylvania,Lancaster ,21 - 30 years,11 - 20 years,Master's degree,Woman
6653,4/27/2021 11:39:27,25-34,Health care,Project Manager,56000,1000,USD,US,Pennsylvania,"Abington, PA",5-7 years,2 - 4 years,Master's degree,Woman
927,4/27/2021 11:39:30,35-44,"Accounting, Banking & Finance",Sr Finance / HR Specialist,131100,15000,USD,United States,California,South San Francisco,11 - 20 years,11 - 20 years,Some college,Woman
9377,4/27/2021 11:39:30,35-44,Recruitment or HR,"Director, Human Resources",130000,13000,USD,United States,Vermont,Burlington,11 - 20 years,8 - 10 years,Master's degree,Woman
10171,4/27/2021 11:39:31,25-34,Education (Higher Education),Assistant Dir. of Admissions,44000,0,USD,United States,Maryland,Annapolis,8 - 10 years,5-7 years,College degree,Woman
11862,4/27/2021 11:39:31,35-44,"Marketing, Advertising & PR",Creative Content Editor,46000,0,USD,United States,New York,Glens Falls,11 - 20 years,5-7 years,College degree,Woman
854,4/27/2021 11:39:32,25-34,Engineering or Manufacturing,Manufacturing Engineer,61500,0,USD,USA,Idaho,Sandpoint,5-7 years,5-7 years,College degree,Woman
3012,4/27/2021 11:39:32,25-34,Recruitment or HR,Senior Associate Director of Talent ,82500,500,USD,US,New York,New York,8 - 10 years,5-7 years,College degree,Woman
11777,4/27/2021 11:39:33,25-34,Engineering or Manufacturing,Test Engineer,68000,0,USD,United States,New York,Islip,8 - 10 years,5-7 years,College degree,Man
8634,4/27/2021 11:39:35,25-34,Nonprofits,Visitor Services Coordinator,38000,0,USD,USA,Colorado,Denver,5-7 years,5-7 years,College degree,Man
11331,4/27/2021 11:39:36,25-34,Education (Higher Education),Program Specialist,65000,2000,USD,USA,District of Columbia,Washington,8 - 10 years,2 - 4 years,College degree,Non-binary
10688,4/27/2021 11:39:36,35-44,"Marketing, Advertising & PR",Ad policy manager,150000,0,USD,United States,New York,New York,11 - 20 years,5-7 years,College degree,Man
10032,4/27/2021 11:39:36,45-54,Sales,Director of Sales,85000,17000,USD,USA,Wisconsin,Madison,21 - 30 years,21 - 30 years,Master's degree,Woman
5315,4/27/2021 11:39:39,45-54,Utilities & Telecommunications,Office Manager,38000,2000,USD,USA,West Virginia,Morgantown,11 - 20 years,8 - 10 years,Master's degree,Woman
4194,4/27/2021 11:39:44,35-44,Education (Higher Education),"Operations Manager, Marketing and Communications",50000,0,USD,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman
3328,4/27/2021 11:39:47,18-24,Engineering or Manufacturing,Marketing Coordinator II,57000,2000,USD,United States,Colorado,Denver,2 - 4 years,2 - 4 years,College degree,Woman
10874,4/27/2021 11:39:47,35-44,Government and Public Administration,Library Assistant II,77922,0,USD,United States,California,SF Bay Area,11 - 20 years,11 - 20 years,Master's degree,Woman
2665,4/27/2021 11:39:48,35-44,Engineering or Manufacturing,Strategic Sourcing Manager,120000,20000,USD,United States,California,Torrance,11 - 20 years,11 - 20 years,Master's degree,Woman
1439,4/27/2021 11:39:49,45-54,Insurance,Senior Underwriter,121000,15000,USD,US,Wisconsin,Madison,21 - 30 years,21 - 30 years,College degree,Woman
12349,4/27/2021 11:39:49,65 or over,Government and Public Administration,Director of Financial Services,124000,0,USD,United States,Connecticut,Hartford,21 - 30 years,21 - 30 years,Master's degree,Woman
13144,4/27/2021 11:39:51,25-34,Computing or Tech,IT Systems Engineer,95000,1000,USD,USA,Massachusetts,Somerville,8 - 10 years,8 - 10 years,College degree,Woman
506,4/27/2021 11:39:51,35-44,Nonprofits,Finance Director,84000,0,USD,USA,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,Master's degree,Man
9577,4/27/2021 11:39:55,25-34,Government and Public Administration,Senior Aditor,43000,0,USD,USA ,New Mexico,Santa Fe,5-7 years,5-7 years,College degree,Woman
712,4/27/2021 11:39:55,35-44,Health care,Medical Lab Technician,52000,0,USD,U.S,California,Oceanside,21 - 30 years,2 - 4 years,College degree,Woman
5034,4/27/2021 11:39:56,25-34,Business or Consulting,program manager,63000,3000,USD,U.S.,District of Columbia,washington,2 - 4 years,2 - 4 years,College degree,Woman
6730,4/27/2021 11:39:57,45-54,Public Library,Assistant Director,40000,0,USD,United States,Alabama,Athens,21 - 30 years,21 - 30 years,College degree,Woman
6856,4/27/2021 11:40:03,25-34,biotech,Senior Associate Data Scientist,110000,14000,USD,United States,Massachusetts,"Cambridge, MA",11 - 20 years,5-7 years,Master's degree,Woman
1957,4/27/2021 11:40:04,35-44,Computing or Tech,Senior Software Engineer,131000,10000,USD,United States,Massachusetts,Boston,11 - 20 years,5-7 years,College degree,Man
4177,4/27/2021 11:40:09,25-34,Utilities & Telecommunications,Senior Settlements Analyst,100000,20000,USD,USA,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman
3982,4/27/2021 11:40:10,35-44,Manufacturing ,Creative Project Manager,72000,0,USD,usa,North Carolina,charlotte,11 - 20 years,11 - 20 years,College degree,Woman
11006,4/27/2021 11:40:16,25-34,Business or Consulting,Consultant,147000,0,USD,United States,Ohio,Columbus,5-7 years,5-7 years,College degree,Woman
10209,4/27/2021 11:40:20,25-34,Engineering or Manufacturing,Staff Geologist,57636,0,USD,US,Georgia,Atlanta,2 - 4 years,2 - 4 years,Master's degree,Woman
8101,4/27/2021 11:40:23,25-34,Health care,Sr Consultant,120000,5000,USD,USA,California,SF Bay Area,8 - 10 years,8 - 10 years,Master's degree,Woman
2851,4/27/2021 11:40:24,25-34,Engineering or Manufacturing,Engineering Manager ,115000,5000,USD,USA,Connecticut,Hartford,8 - 10 years,8 - 10 years,College degree,Woman
3023,4/27/2021 11:40:25,25-34,"Marketing, Advertising & PR",Sr Marketing manager ,98000,10000,USD,United States,Connecticut,Stamford,8 - 10 years,8 - 10 years,College degree,Woman
12111,4/27/2021 11:40:28,25-34,Entertainment,"Director, Media Relations",123000,10000,USD,United States,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman
10208,4/27/2021 11:40:29,25-34,Education (Primary/Secondary),Teacher,55000,1200,USD,United States,Washington,Ridgefield,8 - 10 years,5-7 years,Master's degree,Woman
6152,4/27/2021 11:40:35,45-54,Food and Flavor,Sr Analytical Chemist,104000,2000,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,Master's degree,Woman
7244,4/27/2021 11:40:36,45-54,Computing or Tech,Computer Security Assessor,117000,20000,USD,USA,Missouri,St. Louis,21 - 30 years,2 - 4 years,Master's degree,Man
6306,4/27/2021 11:40:36,55-64,Media & Digital,Managing Editor,63420,2000,USD,United States,Nevada,Las Vegas,21 - 30 years,21 - 30 years,Some college,Woman
7500,4/27/2021 11:40:37,25-34,Computing or Tech,Technical Account Manager,100000,15000,USD,United States,Colorado,Broomfield,5-7 years,2 - 4 years,College degree,Woman
4744,4/27/2021 11:40:37,35-44,Education (Higher Education),Senior Lecturer ,52500,3500,USD,U.S.,Wisconsin,Platteville ,11 - 20 years,11 - 20 years,Master's degree,Woman
9329,4/27/2021 11:40:41,35-44,Nonprofits,Senior Manager,60000,0,USD,USA,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman
3907,4/27/2021 11:40:42,25-34,Renewable Energy,Senior Project Manager,71000,10000,USD,United States of America,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman
9787,4/27/2021 11:40:45,35-44,Health care,Behavioral Health Case Manager,89000,6000,USD,Usa,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Woman
2839,4/27/2021 11:40:45,35-44,Nonprofits,Director of Training,60000,1100,USD,United States,Maine,Portland,11 - 20 years,5-7 years,Master's degree,Non-binary
3267,4/27/2021 11:40:46,25-34,"Accounting, Banking & Finance",Manager,102000,20000,USD,USA,California,Los Angeles,11 - 20 years,8 - 10 years,Master's degree,Woman
6966,4/27/2021 11:40:46,35-44,Health care,Systems analyst,110000,0,USD,Usa,Virginia,Fairfax,21 - 30 years,21 - 30 years,College degree,Woman
5030,4/27/2021 11:40:47,25-34,Engineering or Manufacturing,Environmental engineer,84000,2000,USD,USA ,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Woman
1888,4/27/2021 11:40:50,35-44,Education (Higher Education),Senior manager,100000,0,USD,USA,Massachusetts,Cambridge,8 - 10 years,5-7 years,Master's degree,Prefer Not Answer
11074,4/27/2021 11:40:54,35-44,Nonprofits,Director of Home Based Services,64500,0,USD,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman
3814,4/27/2021 11:40:55,55-64,Pharmaceutical Manufacturing,"Senior Specialist, Conformance",114000,22500,USD,USA,California,Berkeley,31 - 40 years,11 - 20 years,PhD,Woman
9003,4/27/2021 11:40:55,25-34,Education (Higher Education),Senior Costing Analyst,70040,0,USD,USA,Tennessee,Nashville,5-7 years,2 - 4 years,Master's degree,Man
10545,4/27/2021 11:40:56,55-64,Education (Higher Education),Academic success coach,53000,0,USD,USA,Maryland,Largo,21 - 30 years,2 - 4 years,College degree,Woman
2698,4/27/2021 11:41:04,35-44,Law,Human Resources Manager,100000,3500,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
9069,4/27/2021 11:41:05,25-34,Law,Legal Assistant,54000,10000,USD,united states,Minnesota,st paul,2 - 4 years,2 - 4 years,Master's degree,Woman
6475,4/27/2021 11:41:07,25-34,Nonprofits,"Associate Director, Investor Relations",82200,0,USD,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
4326,4/27/2021 11:41:08,25-34,aerospace data,Geospatial Analyst,57000,3000,USD,USA,Colorado,Englewood,5-7 years,2 - 4 years,Master's degree,Woman
6121,4/27/2021 11:41:12,35-44,Government and Public Administration,Security Officer,98000,3400,USD,United States,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,College degree,Woman
9773,4/27/2021 11:41:15,25-34,Education (Higher Education),Program Director,90000,0,USD,United States,Massachusetts,Boston,8 - 10 years,2 - 4 years,Master's degree,Woman
6183,4/27/2021 11:41:15,65 or over,Retail,Controller,120000,0,USD,United States,California,Los Angeles,5-7 years,21 - 30 years,College degree,Woman
10550,4/27/2021 11:41:20,25-34,Engineering or Manufacturing,Inside Sales Engineer,65000,5000,USD,United States,Wisconsin,Menomonee Falls,8 - 10 years,5-7 years,Master's degree,Man
577,4/27/2021 11:41:21,25-34,Science/Research,Research Program Manager,70000,0,USD,United States,Texas,Houston,8 - 10 years,8 - 10 years,Master's degree,Woman
1137,4/27/2021 11:41:25,45-54,Computing or Tech,Technical writer,110000,6000,USD,United States,Rhode Island,Johnston,21 - 30 years,21 - 30 years,College degree,Man
5958,4/27/2021 11:41:26,35-44,Education (Higher Education),Conservator ,77000,0,USD,United States,New Jersey,Princeton,21 - 30 years,5-7 years,Master's degree,Woman
9363,4/27/2021 11:41:27,25-34,Education (Primary/Secondary),Product Manager,110000,11000,USD,United States,Colorado,Denver (but remote - company is NYC),11 - 20 years,11 - 20 years,Master's degree,Woman
9323,4/27/2021 11:41:28,35-44,Education (Higher Education),Faculty Coordinator,65000,0,USD,United States of America,Pennsylvania,Philadelphia,8 - 10 years,11 - 20 years,College degree,Woman
2875,4/27/2021 11:41:30,25-34,Law,Associate,125000,10000,USD,United States,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman
9811,4/27/2021 11:41:31,25-34,Hospitality & Events,Area Director of Revenue Management,75000,15000,USD,US,"Kentucky, Ohio",Payroll is out of Cincinnati,11 - 20 years,5-7 years,Some college,Woman
13103,4/27/2021 11:41:34,25-34,Social Work,Success Coach/Program Coordinator ,46000,0,USD,USA,Texas,Waco,2 - 4 years,2 - 4 years,Master's degree,Woman
6036,4/27/2021 11:41:34,35-44,Government and Public Administration,Budget analyst,146500,0,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman
9962,4/27/2021 11:41:35,25-34,Health care,Professional Research Assistant,50000,0,USD,USA,Colorado,Denver,11 - 20 years,8 - 10 years,College degree,Woman
3819,4/27/2021 11:41:36,25-34,Nonprofits,Operations Coordinator,60000,0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Some college,Woman
10361,4/27/2021 11:41:37,25-34,Government and Public Administration,Office Services Manager,52740,0,USD,United States,Nebraska,"Lincoln, NE",5-7 years,5-7 years,Master's degree,Woman
257,4/27/2021 11:41:41,25-34,"Accounting, Banking & Finance","Senior Manager, Finance",140000,20000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman
5009,4/27/2021 11:41:47,25-34,Nonprofits,Senior Research Analyst,69000,0,USD,United States,Virginia,Arlington,2 - 4 years,2 - 4 years,Master's degree,Woman
11252,4/27/2021 11:41:47,25-34,Health care,Senior Project Manager,115000,23000,USD,United States,Virginia,Arlington,5-7 years,5-7 years,Master's degree,Woman
1684,4/27/2021 11:41:48,25-34,Computing or Tech,Technical Writer II,70000,0,USD,United States,Colorado,Denver,8 - 10 years,2 - 4 years,Master's degree,Woman
11216,4/27/2021 11:41:49,25-34,Education (Primary/Secondary),Middle School Teacher,52000,0,USD,United States,California,Pasadena,2 - 4 years,2 - 4 years,College degree,Woman
4705,4/27/2021 11:41:53,25-34,Law,Patent agent,150000,15000,USD,United States,California,San Diego,2 - 4 years,2 - 4 years,PhD,Woman
2809,4/27/2021 11:41:54,25-34,Government and Public Administration,Librarian IV,53863,400,USD,USA,Louisiana,Metairie,11 - 20 years,8 - 10 years,Master's degree,Woman
9319,4/27/2021 11:41:59,45-54,Law,Litigation Paralegal,105000,6000,USD,USA,Washington,Seattle,21 - 30 years,21 - 30 years,College degree,Woman
10646,4/27/2021 11:42:00,25-34,"Accounting, Banking & Finance",Senior Scrum Master,85000,10000,USD,USA,Florida,Tampa,8 - 10 years,5-7 years,College degree,Woman
1090,4/27/2021 11:42:01,45-54,Nonprofits,Program Manager & Staff Attorney,47076,500,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
10459,4/27/2021 11:42:03,25-34,Nonprofits,Research Manager,56000,0,USD,USA,California,Fullerton,8 - 10 years,8 - 10 years,Master's degree,Woman
291,4/27/2021 11:42:07,45-54,Education (Higher Education),IT Services Coordinator III,60500,0,USD,U.S.,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree,Man
101,4/27/2021 11:42:08,45-54,Government and Public Administration,Archivist,80000,0,USD,USA,New York,Buffalo,21 - 30 years,21 - 30 years,Master's degree,Woman
13226,4/27/2021 11:42:10,25-34,Education (Higher Education),Assistant Professor,68000,0,USD,Unites States ,Mississippi,Starkville ,5-7 years,5-7 years,PhD,Woman
9458,4/27/2021 11:42:11,45-54,Government and Public Administration,Data Analyst,80000,0,USD,USA,North Carolina,Asheville,21 - 30 years,2 - 4 years,PhD,Woman
2549,4/27/2021 11:42:13,35-44,Government and Public Administration,Scientist Manager,86000,0,USD,United States,Virginia,Richmond,8 - 10 years,8 - 10 years,PhD,Man
2176,4/27/2021 11:42:16,35-44,Government and Public Administration,Policy analyst,133452,3752,USD,US,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman
6423,4/27/2021 11:42:19,35-44,Business or Consulting,Executive Assistant,87000,1000,USD,United States,New York,New YOrk,11 - 20 years,11 - 20 years,College degree,Woman
9080,4/27/2021 11:42:19,35-44,Biotech/Pharma,Senior Manager Regulatory Affairs Labeling,145000,15000,USD,United States,Washington,Bothell,2 - 4 years,2 - 4 years,College degree,Woman
8145,4/27/2021 11:42:24,25-34,Education (Higher Education),Post-Award Research Administrator,43550,0,USD,U.S.,North Carolina,Greensboro,5-7 years,2 - 4 years,College degree,Woman
6771,4/27/2021 11:42:29,25-34,Nonprofits,Partnerships Manager,75000,8000,USD,United States,"District of Columbia, Virginia",Arlington,8 - 10 years,2 - 4 years,College degree,Woman
3188,4/27/2021 11:42:31,45-54,Government and Public Administration,County Librarian,145000,0,USD,USA,California,Rural,21 - 30 years,21 - 30 years,Master's degree,Woman
3542,4/27/2021 11:42:33,35-44,Real Estate Investment,Associate - Financial Reporting,73000,12000,USD,USA,Colorado,Denver,8 - 10 years,2 - 4 years,College degree,Woman
13223,4/27/2021 11:42:35,45-54,Recruitment or HR,HR systems analyst,100000,0,USD,USA ,Arizona,Phoenix,21 - 30 years,21 - 30 years,College degree,Woman
10060,4/27/2021 11:42:40,25-34,Supply chain,Material Planner,56000,0,USD,United States,Pennsylvania,New Kensington,5-7 years,2 - 4 years,Master's degree,Woman
6135,4/27/2021 11:42:43,45-54,Education (Primary/Secondary),Teacher + Program Coordinator,75000,3000,USD,United States,New York,"Rochester, NY",21 - 30 years,21 - 30 years,Master's degree,Woman
11300,4/27/2021 11:42:49,65 or over,Education (Higher Education),Metadata Librarian,71000,0,USD,USA,Virginia,Charlottesville,41 years or more,31 - 40 years,Master's degree,Woman
8582,4/27/2021 11:42:50,25-34,Computing or Tech,Senior Data Scientist ,138000,15000,USD,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman
5967,4/27/2021 11:42:51,35-44,Public library,Librarian,43000,0,USD,United States,Indiana,Terre Haute,2 - 4 years,2 - 4 years,Master's degree,Woman
2000,4/27/2021 11:42:52,35-44,Computing or Tech,Senior IT Consultant,114000,4000,USD,United States,Ohio,Toledo,11 - 20 years,11 - 20 years,Master's degree,Woman
11518,4/27/2021 11:42:52,35-44,"Accounting, Banking & Finance",Office Accountant,62400,23600,USD,USA,Texas,San Antonio,11 - 20 years,11 - 20 years,Some college,Woman
11986,4/27/2021 11:42:53,25-34,Engineering or Manufacturing,Senior Regulatory Affairs Specialist,100000,18000,USD,USA,Washington,Redmond,5-7 years,2 - 4 years,PhD,Woman
5397,4/27/2021 11:42:54,25-34,Biotech/pharma,Scientist I,109000,10000,USD,USA,Washington,Seattle,5-7 years,5-7 years,PhD,Woman
10628,4/27/2021 11:42:54,35-44,Health care,AP Senior Anaylst,64906,3245,USD,US,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman
6340,4/27/2021 11:42:55,45-54,"Accounting, Banking & Finance",Senior Marketing Consultant,63600,7000,USD,United States,Ohio,Cleveland,21 - 30 years,11 - 20 years,College degree,Woman
9329,4/27/2021 11:42:56,35-44,Business or Consulting,Vice President,92000,0,USD,United States,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree,Woman
1305,4/27/2021 11:42:57,25-34,public library,Outreach Librarian,39000,0,USD,USA,Illinois,Roselle,11 - 20 years,8 - 10 years,College degree,Woman
12321,4/27/2021 11:42:57,35-44,Government and Public Administration,Interns and Fellows Program Administrator,87304,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman
11434,4/27/2021 11:42:58,35-44,Computing or Tech,IT Program Manager,143000,0,USD,United States,Wisconsin,Milwaukee area,11 - 20 years,8 - 10 years,Master's degree,Woman
6297,4/27/2021 11:42:58,18-24,Recruitment or HR,Human Resources Specialist ,56500,1000,USD,USA,District of Columbia,Washington D.C.,2 - 4 years,2 - 4 years,College degree,Woman
3975,4/27/2021 11:43:00,25-34,Education (Higher Education),Academic Advisor,49000,0,USD,USA,Georgia,Atlanta,8 - 10 years,5-7 years,Master's degree,Woman
9813,4/27/2021 11:43:01,25-34,Nonprofits,Communications Officer,100000,0,USD,United States,New York,"New York, NY",5-7 years,5-7 years,Master's degree,Woman
13302,4/27/2021 11:43:05,25-34,technology/SaaS,Implementation Manager,87500,17000,USD,USA,Ohio,Columbus,8 - 10 years,5-7 years,College degree,Woman
10307,4/27/2021 11:43:08,35-44,Health care,Laboratory technician ,58000,3000,USD,Usa ,Illinois,Chicago ,11 - 20 years,11 - 20 years,Some college,Woman
11633,4/27/2021 11:43:14,25-34,Engineering or Manufacturing,Mechanical Engineer III,114400,2500,USD,United States,Massachusetts,Andover,5-7 years,5-7 years,College degree,Woman
12032,4/27/2021 11:43:15,35-44,"Marketing, Advertising & PR",PPC Specialist,45000,25000,USD,USA,Florida,Jacksonville,11 - 20 years,11 - 20 years,Master's degree,Woman
8910,4/27/2021 11:43:17,35-44,Education (Higher Education),Research Manager,73000,0,USD,USA,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,PhD,Woman
11969,4/27/2021 11:43:19,35-44,Hospitality & Events,Senior Project Manager,86000,0,USD,USA,Florida,Remote,11 - 20 years,11 - 20 years,Master's degree,Woman
316,4/27/2021 11:43:19,25-34,Education (Higher Education),Business systems analyst,70400,0,USD,United states,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,Master's degree,Non-binary
10958,4/27/2021 11:43:20,35-44,"Accounting, Banking & Finance",Senior Compliance Analyst,85000,12000,USD,U.S.A. ,Ohio,Cleveland,11 - 20 years,8 - 10 years,College degree,Woman
1877,4/27/2021 11:43:20,45-54,"Accounting, Banking & Finance",Senior IT Analyst,100000,7000,USD,USA,Georgia,Atlanta,21 - 30 years,5-7 years,College degree,Woman
11196,4/27/2021 11:43:20,25-34,Computing or Tech,Technical Writer,91000,5000,USD,United States,Colorado,Denver,5-7 years,5-7 years,Master's degree,Prefer Not Answer
6406,4/27/2021 11:43:21,35-44,Education (Higher Education),librarian / senior library specialist,50800,0,USD,U.S.,Illinois,Champaign,11 - 20 years,11 - 20 years,Master's degree,Woman
12548,4/27/2021 11:43:23,35-44,Biotech,Senior Associate Scientist,116802,11680,USD,United States,Massachusetts,Cambridge,21 - 30 years,21 - 30 years,Master's degree,Woman
9254,4/27/2021 11:43:23,35-44,Education (Primary/Secondary),Instructional Coach,63000,0,USD,United States,North Carolina,Hickory,11 - 20 years,11 - 20 years,Master's degree,Woman
4162,4/27/2021 11:43:24,35-44,Education (Higher Education),Academic Advisor,54000,4000,USD,United States,Delaware,New Castle,11 - 20 years,8 - 10 years,Master's degree,Woman
3756,4/27/2021 11:43:24,25-34,Engineering or Manufacturing,Senior systems engineer,100100,0,USD,USA,Iowa,My city + industry would ID my employer,5-7 years,5-7 years,Master's degree,Woman
13014,4/27/2021 11:43:26,45-54,Law,Paralegal,80000,5000,USD,United States,District of Columbia,DC,21 - 30 years,21 - 30 years,Some college,Woman
3698,4/27/2021 11:43:26,25-34,"Accounting, Banking & Finance",Controlling Assistant,55000,0,USD,United States,Indiana,Morristown,8 - 10 years,5-7 years,College degree,Woman
11648,4/27/2021 11:43:27,45-54,Libraries,Librarian,48000,0,USD,US,South Carolina,Spartanburg,8 - 10 years,8 - 10 years,Master's degree,Woman
6407,4/27/2021 11:43:29,25-34,Media & Digital,Associate Publicist,53000,2500,USD,US,New York,New York City,5-7 years,5-7 years,College degree,Woman
5497,4/27/2021 11:43:31,35-44,Libraries,Assistant Director,44335,200,USD,The United States,Michigan,Allegan,5-7 years,5-7 years,Master's degree,Woman
4622,4/27/2021 11:43:34,35-44,Engineering or Manufacturing,Test Engineer,90000,2000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman
11010,4/27/2021 11:43:34,45-54,Government and Public Administration,City Clerk,54250,0,USD,US,Kentucky,Louisville,11 - 20 years,5-7 years,Master's degree,Woman
773,4/27/2021 11:43:36,45-54,Nonprofits,Collection Services Assistant Manager,72700,0,USD,United States,Oklahoma,Oklahoma City,21 - 30 years,11 - 20 years,Master's degree,Woman
4327,4/27/2021 11:43:37,35-44,Education (Higher Education),Director of Strategy,75000,0,USD,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
6540,4/27/2021 11:43:41,35-44,Computing or Tech,Senior HRIS Analyst,123250,12325,USD,USA,Colorado,Denver,11 - 20 years,5-7 years,College degree,Non-binary
13191,4/27/2021 11:43:45,35-44,Computing or Tech,VP Product,135000,10000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
12390,4/27/2021 11:43:51,45-54,Manufacturing,Environmental Coordinator,100000,10000,USD,US,California,"Not identifying, but the Central Valley, CA",21 - 30 years,8 - 10 years,College degree,Woman
12624,4/27/2021 11:43:51,35-44,"Accounting, Banking & Finance",VP / Portfolio Manager,125000,12500,USD,United States,California,Irvine,11 - 20 years,11 - 20 years,College degree,Woman
2307,4/27/2021 11:43:51,35-44,Computing or Tech,Senior Network Engineer,120000,15000,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,College degree,Man
3060,4/27/2021 11:43:55,35-44,Nonprofits,Programs Coordinator,38000,6000,USD,USA,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman
10903,4/27/2021 11:44:00,55-64,Education (Higher Education),Benefits Compliance Officer,114000,0,USD,USA,Massachusetts,Boston,31 - 40 years,31 - 40 years,College degree,Woman
7755,4/27/2021 11:44:04,25-34,Agriculture or Forestry,Senior Accountant,69470,6947,USD,USA,Utah,Salt Lake City,8 - 10 years,5-7 years,College degree,Man
6823,4/27/2021 11:44:05,25-34,Business or Consulting,Sr. Marketing Cloud Consultant,130000,6000,USD,USA,California,San Jose,8 - 10 years,2 - 4 years,Master's degree,Woman
8767,4/27/2021 11:44:08,35-44,Computing or Tech,Project Manager,82000,0,USD,United States,Nevada,Reno,11 - 20 years,5-7 years,College degree,Woman
